ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Pais,Cidade,Estado,ID_Produto,Categoria,SubCategoria,Valor_Venda
CA-2017-121755,16/01/2017,EH-13945,Consumer,United States,Los Angeles,California,TEC-AC-10003027,Technology,Accessories,90.57
US-2016-150630,17/09/2016,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,FUR-BO-10004834,Furniture,Bookcases,3083.43
US-2016-150630,17/09/2016,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,OFF-BI-10000474,Office Supplies,Binders,9.618
US-2016-150630,17/09/2016,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,FUR-FU-10004848,Furniture,Furnishings,124.2
US-2016-150630,17/09/2016,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,OFF-EN-10001509,Office Supplies,Envelopes,3.264
US-2016-150630,17/09/2016,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,OFF-AR-10004042,Office Supplies,Art,86.304
US-2016-150630,17/09/2016,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,OFF-BI-10001525,Office Supplies,Binders,6.858
US-2016-150630,17/09/2016,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,OFF-AR-10001683,Office Supplies,Art,15.76
CA-2018-107727,19/10/2018,MA-17560,Home Office,United States,Houston,Texas,OFF-PA-10000249,Office Supplies,Paper,29.472
CA-2017-117590,08/12/2017,GH-14485,Corporate,United States,Richardson,Texas,TEC-PH-10004977,Technology,Phones,1097.544
CA-2017-117590,08/12/2017,GH-14485,Corporate,United States,Richardson,Texas,FUR-FU-10003664,Furniture,Furnishings,190.92
CA-2016-117415,27/12/2016,SN-20710,Home Office,United States,Houston,Texas,OFF-EN-10002986,Office Supplies,Envelopes,113.328
CA-2016-117415,27/12/2016,SN-20710,Home Office,United States,Houston,Texas,FUR-BO-10002545,Furniture,Bookcases,532.3992
CA-2016-117415,27/12/2016,SN-20710,Home Office,United States,Houston,Texas,FUR-CH-10004218,Furniture,Chairs,212.058
CA-2016-117415,27/12/2016,SN-20710,Home Office,United States,Houston,Texas,TEC-PH-10000486,Technology,Phones,371.168
CA-2018-120999,10/09/2018,LC-16930,Corporate,United States,Naperville,Illinois,TEC-PH-10004093,Technology,Phones,147.168
CA-2017-101343,17/07/2017,RA-19885,Corporate,United States,Los Angeles,California,OFF-ST-10003479,Office Supplies,Storage,77.88
CA-2018-139619,19/09/2018,ES-14080,Corporate,United States,Melbourne,Florida,OFF-ST-10003282,Office Supplies,Storage,95.616
CA-2017-118255,11/03/2017,ON-18715,Corporate,United States,Eagan,Minnesota,TEC-AC-10000171,Technology,Accessories,45.98
CA-2017-118255,11/03/2017,ON-18715,Corporate,United States,Eagan,Minnesota,OFF-BI-10003291,Office Supplies,Binders,17.46
CA-2015-146703,20/10/2015,PO-18865,Consumer,United States,Westland,Michigan,OFF-ST-10001713,Office Supplies,Storage,211.96
CA-2017-169194,20/06/2017,LH-16900,Consumer,United States,Dover,Delaware,TEC-AC-10002167,Technology,Accessories,45
CA-2017-169194,20/06/2017,LH-16900,Consumer,United States,Dover,Delaware,TEC-PH-10003988,Technology,Phones,21.8
CA-2016-115742,18/04/2016,DP-13000,Consumer,United States,New Albany,Indiana,OFF-BI-10004410,Office Supplies,Binders,38.22
CA-2016-115742,18/04/2016,DP-13000,Consumer,United States,New Albany,Indiana,OFF-LA-10002762,Office Supplies,Labels,75.18
CA-2016-115742,18/04/2016,DP-13000,Consumer,United States,New Albany,Indiana,FUR-FU-10001706,Furniture,Furnishings,6.16
CA-2016-115742,18/04/2016,DP-13000,Consumer,United States,New Albany,Indiana,FUR-CH-10003061,Furniture,Chairs,89.99
CA-2017-105816,11/12/2017,JM-15265,Corporate,United States,New York City,New York,OFF-FA-10000304,Office Supplies,Fasteners,15.26
CA-2017-105816,11/12/2017,JM-15265,Corporate,United States,New York City,New York,TEC-PH-10002447,Technology,Phones,1029.95
CA-2017-111682,17/06/2017,TB-21055,Consumer,United States,Troy,New York,OFF-ST-10000604,Office Supplies,Storage,208.56
CA-2017-111682,17/06/2017,TB-21055,Consumer,United States,Troy,New York,OFF-PA-10001569,Office Supplies,Paper,32.4
CA-2017-111682,17/06/2017,TB-21055,Consumer,United States,Troy,New York,FUR-CH-10003968,Furniture,Chairs,319.41
CA-2017-111682,17/06/2017,TB-21055,Consumer,United States,Troy,New York,OFF-PA-10000587,Office Supplies,Paper,14.56
CA-2017-111682,17/06/2017,TB-21055,Consumer,United States,Troy,New York,TEC-AC-10002167,Technology,Accessories,30
CA-2017-111682,17/06/2017,TB-21055,Consumer,United States,Troy,New York,OFF-BI-10001460,Office Supplies,Binders,48.48
CA-2017-111682,17/06/2017,TB-21055,Consumer,United States,Troy,New York,OFF-AR-10001868,Office Supplies,Art,1.68
CA-2016-135545,24/11/2016,KM-16720,Consumer,United States,Los Angeles,California,TEC-AC-10004633,Technology,Accessories,13.98
CA-2016-135545,24/11/2016,KM-16720,Consumer,United States,Los Angeles,California,OFF-BI-10001078,Office Supplies,Binders,25.824
CA-2016-135545,24/11/2016,KM-16720,Consumer,United States,Los Angeles,California,OFF-PA-10003892,Office Supplies,Paper,146.73
CA-2016-135545,24/11/2016,KM-16720,Consumer,United States,Los Angeles,California,FUR-FU-10000397,Furniture,Furnishings,79.76
US-2016-164175,30/04/2016,PS-18970,Home Office,United States,Chicago,Illinois,FUR-CH-10001146,Furniture,Chairs,213.115
CA-2015-106376,05/12/2015,BS-11590,Corporate,United States,Gilbert,Arizona,OFF-AR-10002671,Office Supplies,Art,1113.024
CA-2015-106376,05/12/2015,BS-11590,Corporate,United States,Gilbert,Arizona,TEC-PH-10002726,Technology,Phones,167.968
CA-2017-119823,04/06/2017,KD-16270,Consumer,United States,Springfield,Virginia,OFF-PA-10000482,Office Supplies,Paper,75.88
CA-2017-106075,18/09/2017,HM-14980,Consumer,United States,New York City,New York,OFF-BI-10004654,Office Supplies,Binders,4.616
CA-2018-114440,14/09/2018,TB-21520,Consumer,United States,Jackson,Michigan,OFF-PA-10004675,Office Supplies,Paper,19.05
US-2016-134026,26/04/2016,JE-15745,Consumer,United States,Memphis,Tennessee,FUR-CH-10000513,Furniture,Chairs,831.936
US-2016-134026,26/04/2016,JE-15745,Consumer,United States,Memphis,Tennessee,FUR-FU-10003708,Furniture,Furnishings,97.04
US-2016-134026,26/04/2016,JE-15745,Consumer,United States,Memphis,Tennessee,OFF-ST-10004123,Office Supplies,Storage,72.784
US-2018-118038,09/12/2018,KB-16600,Corporate,United States,Houston,Texas,OFF-BI-10004182,Office Supplies,Binders,1.248
US-2018-118038,09/12/2018,KB-16600,Corporate,United States,Houston,Texas,FUR-FU-10000260,Furniture,Furnishings,9.708
US-2018-118038,09/12/2018,KB-16600,Corporate,United States,Houston,Texas,OFF-ST-10000615,Office Supplies,Storage,27.24
US-2015-147606,26/11/2015,JE-15745,Consumer,United States,Houston,Texas,FUR-FU-10003194,Furniture,Furnishings,19.3
CA-2017-127208,12/06/2017,SC-20770,Corporate,United States,Decatur,Alabama,OFF-AP-10002118,Office Supplies,Appliances,208.16
CA-2017-127208,12/06/2017,SC-20770,Corporate,United States,Decatur,Alabama,OFF-BI-10002309,Office Supplies,Binders,16.74
CA-2015-139451,12/10/2015,DN-13690,Consumer,United States,San Francisco,California,OFF-AR-10002053,Office Supplies,Art,14.9
CA-2015-139451,12/10/2015,DN-13690,Consumer,United States,San Francisco,California,OFF-ST-10002370,Office Supplies,Storage,21.39
CA-2016-149734,03/09/2016,JC-16105,Corporate,United States,Durham,North Carolina,OFF-EN-10000927,Office Supplies,Envelopes,200.984
US-2018-119662,13/11/2018,CS-12400,Home Office,United States,Chicago,Illinois,OFF-ST-10003656,Office Supplies,Storage,230.376
CA-2018-140088,28/05/2018,PO-18865,Consumer,United States,Columbia,South Carolina,FUR-CH-10000863,Furniture,Chairs,301.96
CA-2018-155558,26/10/2018,PG-18895,Consumer,United States,Rochester,Minnesota,TEC-AC-10001998,Technology,Accessories,19.99
CA-2018-155558,26/10/2018,PG-18895,Consumer,United States,Rochester,Minnesota,OFF-LA-10000134,Office Supplies,Labels,6.16
CA-2017-159695,05/04/2017,GM-14455,Home Office,United States,Houston,Texas,OFF-ST-10003442,Office Supplies,Storage,158.368
CA-2017-109806,17/09/2017,JS-15685,Corporate,United States,Los Angeles,California,OFF-AR-10004930,Office Supplies,Art,20.1
CA-2017-109806,17/09/2017,JS-15685,Corporate,United States,Los Angeles,California,TEC-PH-10004093,Technology,Phones,73.584
CA-2017-109806,17/09/2017,JS-15685,Corporate,United States,Los Angeles,California,OFF-PA-10000304,Office Supplies,Paper,6.48
CA-2016-149587,31/01/2016,KB-16315,Consumer,United States,Minneapolis,Minnesota,OFF-PA-10003177,Office Supplies,Paper,12.96
CA-2016-149587,31/01/2016,KB-16315,Consumer,United States,Minneapolis,Minnesota,FUR-FU-10003799,Furniture,Furnishings,53.34
CA-2016-149587,31/01/2016,KB-16315,Consumer,United States,Minneapolis,Minnesota,OFF-BI-10002852,Office Supplies,Binders,32.96
US-2018-109484,06/11/2018,RB-19705,Home Office,United States,Portland,Oregon,OFF-BI-10004738,Office Supplies,Binders,5.682
CA-2018-161018,09/11/2018,PN-18775,Home Office,United States,New York City,New York,FUR-FU-10000629,Furniture,Furnishings,96.53
CA-2018-157833,17/06/2018,KD-16345,Consumer,United States,San Francisco,California,OFF-BI-10001721,Office Supplies,Binders,51.312
CA-2017-149223,06/09/2017,ER-13855,Corporate,United States,Saint Paul,Minnesota,OFF-AP-10000358,Office Supplies,Appliances,77.88
CA-2017-158568,29/08/2017,RB-19465,Home Office,United States,Chicago,Illinois,OFF-PA-10003256,Office Supplies,Paper,64.624
CA-2017-158568,29/08/2017,RB-19465,Home Office,United States,Chicago,Illinois,TEC-AC-10001767,Technology,Accessories,95.976
CA-2017-158568,29/08/2017,RB-19465,Home Office,United States,Chicago,Illinois,OFF-BI-10002609,Office Supplies,Binders,1.788
CA-2017-129903,01/12/2017,GZ-14470,Consumer,United States,Rochester,Minnesota,OFF-PA-10004040,Office Supplies,Paper,23.92
US-2016-156867,13/11/2016,LC-16870,Consumer,United States,Aurora,Colorado,TEC-AC-10001552,Technology,Accessories,238.896
US-2016-156867,13/11/2016,LC-16870,Consumer,United States,Aurora,Colorado,FUR-FU-10004006,Furniture,Furnishings,102.36
US-2016-156867,13/11/2016,LC-16870,Consumer,United States,Aurora,Colorado,OFF-BI-10002794,Office Supplies,Binders,36.882
CA-2018-119004,23/11/2018,JM-15250,Consumer,United States,Charlotte,North Carolina,TEC-AC-10003499,Technology,Accessories,74.112
CA-2018-119004,23/11/2018,JM-15250,Consumer,United States,Charlotte,North Carolina,TEC-PH-10002844,Technology,Phones,27.992
CA-2018-119004,23/11/2018,JM-15250,Consumer,United States,Charlotte,North Carolina,OFF-AR-10000390,Office Supplies,Art,3.304
CA-2016-129476,15/10/2016,PA-19060,Home Office,United States,Orland Park,Illinois,TEC-AC-10000844,Technology,Accessories,339.96
CA-2018-146780,25/12/2018,CV-12805,Corporate,United States,New York City,New York,FUR-FU-10001934,Furniture,Furnishings,41.96
CA-2017-128867,03/11/2017,CL-12565,Consumer,United States,Urbandale,Iowa,OFF-AR-10000380,Office Supplies,Art,75.96
CA-2017-128867,03/11/2017,CL-12565,Consumer,United States,Urbandale,Iowa,OFF-BI-10003981,Office Supplies,Binders,27.24
CA-2015-115259,25/08/2015,RC-19960,Consumer,United States,Columbus,Ohio,OFF-FA-10000621,Office Supplies,Fasteners,40.096
CA-2015-115259,25/08/2015,RC-19960,Consumer,United States,Columbus,Ohio,OFF-EN-10002600,Office Supplies,Envelopes,4.72
CA-2015-115259,25/08/2015,RC-19960,Consumer,United States,Columbus,Ohio,OFF-PA-10004965,Office Supplies,Paper,23.976
CA-2015-115259,25/08/2015,RC-19960,Consumer,United States,Columbus,Ohio,OFF-EN-10002504,Office Supplies,Envelopes,130.464
CA-2016-110457,02/03/2016,DK-13090,Consumer,United States,Seattle,Washington,FUR-TA-10001768,Furniture,Tables,787.53
US-2016-136476,05/04/2016,GG-14650,Corporate,United States,Bristol,Tennessee,OFF-BI-10003650,Office Supplies,Binders,157.794
CA-2017-103730,12/06/2017,SC-20725,Consumer,United States,Wilmington,Delaware,FUR-FU-10002157,Furniture,Furnishings,47.04
CA-2017-103730,12/06/2017,SC-20725,Consumer,United States,Wilmington,Delaware,OFF-BI-10003910,Office Supplies,Binders,30.84
CA-2017-103730,12/06/2017,SC-20725,Consumer,United States,Wilmington,Delaware,OFF-ST-10000777,Office Supplies,Storage,226.56
CA-2017-103730,12/06/2017,SC-20725,Consumer,United States,Wilmington,Delaware,OFF-EN-10002500,Office Supplies,Envelopes,115.02
CA-2017-103730,12/06/2017,SC-20725,Consumer,United States,Wilmington,Delaware,TEC-PH-10003875,Technology,Phones,68.04
US-2015-152030,26/12/2015,AD-10180,Home Office,United States,Houston,Texas,FUR-CH-10004063,Furniture,Chairs,600.558
US-2015-134614,20/09/2015,PF-19165,Consumer,United States,Bloomington,Illinois,FUR-TA-10004534,Furniture,Tables,617.7
US-2018-107272,05/11/2018,TS-21610,Consumer,United States,Phoenix,Arizona,OFF-BI-10003274,Office Supplies,Binders,2.388
US-2018-107272,05/11/2018,TS-21610,Consumer,United States,Phoenix,Arizona,OFF-ST-10002974,Office Supplies,Storage,243.992
US-2017-125969,06/11/2017,LS-16975,Home Office,United States,Los Angeles,California,FUR-CH-10001146,Furniture,Chairs,81.424
US-2017-125969,06/11/2017,LS-16975,Home Office,United States,Los Angeles,California,FUR-FU-10003773,Furniture,Furnishings,238.56
US-2018-164147,02/02/2018,DW-13585,Corporate,United States,Columbus,Ohio,TEC-PH-10002293,Technology,Phones,59.97
US-2018-164147,02/02/2018,DW-13585,Corporate,United States,Columbus,Ohio,OFF-PA-10002377,Office Supplies,Paper,78.304
US-2018-164147,02/02/2018,DW-13585,Corporate,United States,Columbus,Ohio,OFF-FA-10002780,Office Supplies,Fasteners,21.456
CA-2017-145583,13/10/2017,LC-16885,Consumer,United States,Roseville,California,OFF-PA-10001804,Office Supplies,Paper,20.04
CA-2017-145583,13/10/2017,LC-16885,Consumer,United States,Roseville,California,OFF-PA-10001736,Office Supplies,Paper,35.44
CA-2017-145583,13/10/2017,LC-16885,Consumer,United States,Roseville,California,OFF-AR-10001149,Office Supplies,Art,11.52
CA-2017-145583,13/10/2017,LC-16885,Consumer,United States,Roseville,California,OFF-FA-10002988,Office Supplies,Fasteners,4.02
CA-2017-145583,13/10/2017,LC-16885,Consumer,United States,Roseville,California,OFF-BI-10004781,Office Supplies,Binders,76.176
CA-2017-145583,13/10/2017,LC-16885,Consumer,United States,Roseville,California,OFF-SU-10001218,Office Supplies,Supplies,65.88
CA-2017-145583,13/10/2017,LC-16885,Consumer,United States,Roseville,California,FUR-FU-10001706,Furniture,Furnishings,43.12
CA-2017-110366,05/09/2017,JD-15895,Corporate,United States,Philadelphia,Pennsylvania,FUR-FU-10004848,Furniture,Furnishings,82.8
CA-2018-106180,18/09/2018,SH-19975,Corporate,United States,San Francisco,California,OFF-AR-10000940,Office Supplies,Art,8.82
CA-2018-106180,18/09/2018,SH-19975,Corporate,United States,San Francisco,California,OFF-EN-10004030,Office Supplies,Envelopes,10.86
CA-2018-106180,18/09/2018,SH-19975,Corporate,United States,San Francisco,California,OFF-PA-10004327,Office Supplies,Paper,143.7
CA-2018-155376,22/12/2018,SG-20080,Consumer,United States,Independence,Missouri,OFF-AP-10001058,Office Supplies,Appliances,839.43
CA-2016-110744,07/09/2016,HA-14920,Consumer,United States,Pasadena,California,OFF-ST-10003656,Office Supplies,Storage,671.93
CA-2015-110072,22/10/2015,MG-17680,Home Office,United States,Newark,Ohio,FUR-FU-10000521,Furniture,Furnishings,93.888
CA-2017-114489,05/12/2017,JE-16165,Corporate,United States,Franklin,Wisconsin,TEC-PH-10000215,Technology,Phones,384.45
CA-2017-114489,05/12/2017,JE-16165,Corporate,United States,Franklin,Wisconsin,TEC-PH-10001448,Technology,Phones,149.97
CA-2017-114489,05/12/2017,JE-16165,Corporate,United States,Franklin,Wisconsin,FUR-CH-10000454,Furniture,Chairs,1951.84
CA-2017-114489,05/12/2017,JE-16165,Corporate,United States,Franklin,Wisconsin,OFF-BI-10002735,Office Supplies,Binders,171.55
CA-2017-158834,13/03/2017,TW-21025,Home Office,United States,Scottsdale,Arizona,OFF-AP-10000326,Office Supplies,Appliances,157.92
CA-2017-158834,13/03/2017,TW-21025,Home Office,United States,Scottsdale,Arizona,TEC-PH-10001254,Technology,Phones,203.184
CA-2016-124919,31/05/2016,SP-20650,Corporate,United States,San Jose,California,OFF-PA-10001950,Office Supplies,Paper,58.38
CA-2016-124919,31/05/2016,SP-20650,Corporate,United States,San Jose,California,OFF-PA-10002254,Office Supplies,Paper,105.52
CA-2016-124919,31/05/2016,SP-20650,Corporate,United States,San Jose,California,OFF-ST-10001590,Office Supplies,Storage,80.88
CA-2016-118948,28/05/2016,NK-18490,Home Office,United States,Seattle,Washington,OFF-AR-10001547,Office Supplies,Art,6.63
CA-2015-104269,01/03/2015,DB-13060,Consumer,United States,Seattle,Washington,FUR-CH-10004063,Furniture,Chairs,457.568
CA-2017-114104,20/11/2017,NP-18670,Consumer,United States,Edmond,Oklahoma,OFF-LA-10002475,Office Supplies,Labels,14.62
CA-2017-114104,20/11/2017,NP-18670,Consumer,United States,Edmond,Oklahoma,TEC-PH-10004536,Technology,Phones,944.93
CA-2017-162733,11/05/2017,TT-21070,Consumer,United States,Los Angeles,California,OFF-PA-10002751,Office Supplies,Paper,5.98
CA-2016-119697,28/12/2016,EM-13960,Consumer,United States,Philadelphia,Pennsylvania,TEC-AC-10003657,Technology,Accessories,54.384
CA-2017-154508,16/11/2017,RD-19900,Consumer,United States,Carlsbad,New Mexico,OFF-EN-10001990,Office Supplies,Envelopes,28.4
CA-2017-113817,07/11/2017,MJ-17740,Consumer,United States,Seattle,Washington,OFF-BI-10004002,Office Supplies,Binders,27.68
CA-2015-139892,08/09/2015,BM-11140,Consumer,United States,San Antonio,Texas,OFF-AR-10004441,Office Supplies,Art,9.936
CA-2015-139892,08/09/2015,BM-11140,Consumer,United States,San Antonio,Texas,TEC-MA-10000822,Technology,Machines,8159.952
CA-2015-139892,08/09/2015,BM-11140,Consumer,United States,San Antonio,Texas,OFF-ST-10000991,Office Supplies,Storage,275.928
CA-2015-139892,08/09/2015,BM-11140,Consumer,United States,San Antonio,Texas,FUR-CH-10004287,Furniture,Chairs,1740.06
CA-2015-139892,08/09/2015,BM-11140,Consumer,United States,San Antonio,Texas,OFF-AR-10002656,Office Supplies,Art,32.064
CA-2015-139892,08/09/2015,BM-11140,Consumer,United States,San Antonio,Texas,OFF-AP-10002518,Office Supplies,Appliances,177.98
CA-2015-139892,08/09/2015,BM-11140,Consumer,United States,San Antonio,Texas,TEC-PH-10003931,Technology,Phones,143.976
CA-2015-118962,05/08/2015,CS-12130,Consumer,United States,Los Angeles,California,OFF-PA-10000659,Office Supplies,Paper,20.94
CA-2015-118962,05/08/2015,CS-12130,Consumer,United States,Los Angeles,California,OFF-PA-10001144,Office Supplies,Paper,110.96
CA-2015-118962,05/08/2015,CS-12130,Consumer,United States,Los Angeles,California,FUR-CH-10003817,Furniture,Chairs,340.144
US-2015-100853,14/09/2015,JB-15400,Corporate,United States,Chicago,Illinois,OFF-AP-10000891,Office Supplies,Appliances,52.448
US-2015-100853,14/09/2015,JB-15400,Corporate,United States,Chicago,Illinois,OFF-LA-10003148,Office Supplies,Labels,20.16
US-2018-152366,21/04/2018,SJ-20500,Consumer,United States,Houston,Texas,OFF-AP-10002684,Office Supplies,Appliances,97.264
US-2016-101511,21/11/2016,JE-15745,Consumer,United States,Newark,Ohio,FUR-CH-10004698,Furniture,Chairs,396.802
US-2016-101511,21/11/2016,JE-15745,Consumer,United States,Newark,Ohio,OFF-SU-10002189,Office Supplies,Supplies,15.88
CA-2016-137225,15/12/2016,JK-15640,Home Office,United States,New York City,New York,OFF-AR-10001940,Office Supplies,Art,3.28
CA-2015-166191,05/12/2015,DK-13150,Corporate,United States,Decatur,Illinois,OFF-ST-10003455,Office Supplies,Storage,24.816
CA-2015-166191,05/12/2015,DK-13150,Corporate,United States,Decatur,Illinois,TEC-AC-10004659,Technology,Accessories,408.744
CA-2015-158274,19/11/2015,RM-19675,Home Office,United States,Monroe,Louisiana,TEC-PH-10003273,Technology,Phones,503.96
CA-2015-158274,19/11/2015,RM-19675,Home Office,United States,Monroe,Louisiana,TEC-PH-10004896,Technology,Phones,149.95
CA-2015-158274,19/11/2015,RM-19675,Home Office,United States,Monroe,Louisiana,TEC-AC-10002345,Technology,Accessories,29
CA-2017-105018,28/11/2017,SK-19990,Consumer,United States,Fairfield,Connecticut,OFF-BI-10001890,Office Supplies,Binders,7.16
CA-2015-123260,26/08/2015,FM-14290,Home Office,United States,Los Angeles,California,TEC-AC-10002323,Technology,Accessories,176.8
CA-2017-157000,16/07/2017,AM-10360,Corporate,United States,Grand Prairie,Texas,OFF-ST-10001328,Office Supplies,Storage,37.224
CA-2017-157000,16/07/2017,AM-10360,Corporate,United States,Grand Prairie,Texas,OFF-PA-10001950,Office Supplies,Paper,20.016
CA-2016-102281,12/10/2016,MP-17470,Home Office,United States,New York City,New York,FUR-BO-10002613,Furniture,Bookcases,899.136
CA-2016-102281,12/10/2016,MP-17470,Home Office,United States,New York City,New York,TEC-PH-10001552,Technology,Phones,71.76
CA-2016-102281,12/10/2016,MP-17470,Home Office,United States,New York City,New York,OFF-PA-10000061,Office Supplies,Paper,51.84
CA-2016-102281,12/10/2016,MP-17470,Home Office,United States,New York City,New York,FUR-BO-10002545,Furniture,Bookcases,626.352
CA-2016-102281,12/10/2016,MP-17470,Home Office,United States,New York City,New York,OFF-AR-10003514,Office Supplies,Art,19.9
CA-2016-131457,31/10/2016,MZ-17515,Corporate,United States,Redlands,California,OFF-EN-10001509,Office Supplies,Envelopes,14.28
CA-2015-140004,21/03/2015,CB-12025,Consumer,United States,Hamilton,Ohio,OFF-AR-10004685,Office Supplies,Art,7.408
CA-2015-140004,21/03/2015,CB-12025,Consumer,United States,Hamilton,Ohio,OFF-AR-10004027,Office Supplies,Art,6.048
CA-2018-107720,06/11/2018,VM-21685,Home Office,United States,Westfield,New Jersey,OFF-ST-10001414,Office Supplies,Storage,46.26
US-2018-124303,06/07/2018,FH-14365,Corporate,United States,Philadelphia,Pennsylvania,OFF-BI-10000343,Office Supplies,Binders,2.946
US-2018-124303,06/07/2018,FH-14365,Corporate,United States,Philadelphia,Pennsylvania,OFF-PA-10002749,Office Supplies,Paper,16.056
CA-2018-105074,24/06/2018,MB-17305,Consumer,United States,Akron,Ohio,OFF-PA-10002666,Office Supplies,Paper,21.744
CA-2015-133690,03/08/2015,BS-11755,Consumer,United States,Denver,Colorado,FUR-TA-10004289,Furniture,Tables,218.75
CA-2015-133690,03/08/2015,BS-11755,Consumer,United States,Denver,Colorado,OFF-AP-10003622,Office Supplies,Appliances,2.6
US-2018-116701,17/12/2018,LC-17140,Consumer,United States,Dallas,Texas,OFF-AP-10003217,Office Supplies,Appliances,66.284
CA-2018-126382,03/06/2018,HK-14890,Corporate,United States,Franklin,Tennessee,FUR-FU-10002960,Furniture,Furnishings,35.168
CA-2018-108329,09/12/2018,LE-16810,Consumer,United States,Whittier,California,TEC-PH-10001918,Technology,Phones,444.768
CA-2018-135860,01/12/2018,JH-15985,Consumer,United States,Saginaw,Michigan,OFF-ST-10000642,Office Supplies,Storage,83.92
CA-2018-135860,01/12/2018,JH-15985,Consumer,United States,Saginaw,Michigan,TEC-PH-10001700,Technology,Phones,131.98
CA-2018-135860,01/12/2018,JH-15985,Consumer,United States,Saginaw,Michigan,OFF-BI-10003274,Office Supplies,Binders,15.92
CA-2018-135860,01/12/2018,JH-15985,Consumer,United States,Saginaw,Michigan,OFF-FA-10000134,Office Supplies,Fasteners,52.29
CA-2018-135860,01/12/2018,JH-15985,Consumer,United States,Saginaw,Michigan,OFF-ST-10001522,Office Supplies,Storage,91.99
CA-2016-101007,09/02/2016,MS-17980,Corporate,United States,Dallas,Texas,TEC-AC-10001266,Technology,Accessories,20.8
